Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-11-05,YESBANK,EQ,209.1,209.0,212.35,206.1,210.8,210.1,209.41,21134350,442580397680000.0,152861,3202374,0.1515
2018-11-06,YESBANK,EQ,210.1,212.25,217.9,211.0,214.7,214.45,214.75,26924066,578199672165000.0,182161,4621355,0.1716
2018-11-07,YESBANK,EQ,214.45,217.45,218.0,215.5,215.8,215.95,216.24,3962712,85690464300000.0,45649,1401657,0.35369999999999996
2018-11-09,YESBANK,EQ,215.95,214.0,229.4,213.2,227.55,227.9,223.71,40754087,911707469004999.9,316481,9615898,0.2359
2018-11-12,YESBANK,EQ,227.9,230.0,230.85,221.1,222.4,223.05,224.89,29069172,653724155805000.0,215991,7184888,0.2472
2018-11-13,YESBANK,EQ,223.05,222.0,226.85,220.0,225.2,225.45,224.11,19014119,426130097425000.0,153930,3586558,0.1886
2018-11-14,YESBANK,EQ,225.45,226.9,229.0,221.0,222.05,222.4,224.85,19780790,444777041685000.06,151351,5042859,0.2549
2018-11-15,YESBANK,EQ,222.4,215.0,217.95,202.25,205.9,205.85,207.43,60944632,1264144455185000.0,451001,15433021,0.2532
2018-11-16,YESBANK,EQ,205.85,201.75,201.75,187.8,192.5,191.0,192.51,88101871,1696017023765000.0,618873,27993384,0.3177
2018-11-19,YESBANK,EQ,191.0,198.1,205.95,194.35,205.95,204.8,202.04,64329717,1299749513805000.0,460369,12692403,0.1973
2018-11-20,YESBANK,EQ,204.8,198.0,199.75,191.0,192.5,192.1,194.46,77354754,1504204336040000.0,485357,18642284,0.24100000000000002
2018-11-21,YESBANK,EQ,192.1,196.1,200.8,194.6,198.4,198.15,197.98,47627190,942901933870000.1,268166,9967650,0.2093
2018-11-22,YESBANK,EQ,198.15,200.0,203.85,194.65,195.65,195.55,199.48,44350629,884703043095000.1,293570,6929393,0.1562
2018-11-26,YESBANK,EQ,195.55,189.0,191.95,182.2,191.7,187.9,185.95,60418383,1123460891700000.0,438924,11646229,0.19280000000000003
2018-11-27,YESBANK,EQ,187.9,193.0,193.8,180.35,182.2,182.65,187.14,70065939,1311199359855000.0,445480,15984397,0.2281
2018-11-28,YESBANK,EQ,182.65,180.4,181.0,160.3,162.0,162.1,169.54,140720495,2385783276085000.0,960213,43933224,0.3122
2018-11-29,YESBANK,EQ,162.1,157.05,167.0,146.75,161.05,160.45,156.44,292043464,4568750234800000.0,1451205,48934386,0.16760000000000003
2018-11-30,YESBANK,EQ,160.45,164.0,171.35,160.45,170.5,169.8,168.47,120153166,2024197129180000.0,654978,18512047,0.15410000000000001
2018-12-03,YESBANK,EQ,169.8,174.0,179.5,165.3,178.15,178.0,173.13,104720593,1813063191309999.8,555222,12443934,0.11880000000000002
2018-12-04,YESBANK,EQ,178.0,180.35,182.45,175.25,175.95,176.5,178.8,68038860,1216568066290000.0,376738,13242239,0.19460000000000002
2018-12-05,YESBANK,EQ,176.5,173.5,178.45,172.2,173.1,173.4,174.93,52289539,914726604885000.0,280967,9360611,0.179
2018-12-06,YESBANK,EQ,173.4,169.0,172.5,167.35,168.35,168.45,169.78,38867660,659895158645000.0,246580,5607714,0.1443
2018-12-07,YESBANK,EQ,168.45,170.0,172.0,162.0,166.4,166.2,166.32,49750931,827449292465000.0,269924,5909458,0.11880000000000002
2018-12-10,YESBANK,EQ,166.2,162.0,169.5,160.0,164.95,165.65,164.78,50379613,830157735745000.0,300127,6043257,0.12
2018-12-11,YESBANK,EQ,165.65,164.5,179.85,163.8,179.05,177.85,173.81,85103084,1479171721930000.0,439447,12088509,0.142
2018-12-12,YESBANK,EQ,177.85,182.0,187.5,181.55,186.5,186.6,185.28,71832334,1330889272565000.0,366696,11824873,0.16460000000000002
2018-12-13,YESBANK,EQ,186.6,193.0,193.2,172.3,174.8,174.7,184.21,108920029,2006426503705000.0,584444,19467602,0.17870000000000003
2018-12-14,YESBANK,EQ,174.7,172.7,181.6,168.25,179.7,180.35,176.7,79566067,1405896942095000.0,430845,7088937,0.0891
2018-12-17,YESBANK,EQ,180.35,183.25,184.45,179.45,180.5,181.0,181.93,35269769,641671045245000.0,195137,6800660,0.19280000000000003
